Date,Price
2004/2/1,48.6
2004/2/2,48.6
2004/2/3,48.71
2004/2/4,47.34
2004/2/5,47.45
2004/2/6,48.62
2004/2/7,48.38
2004/2/8,48.38
2004/2/9,48.38
2004/2/10,48.59
2004/2/11,49.02
2004/2/12,48.63
2004/2/13,48.22
2004/2/14,48.73
2004/2/15,48.73
2004/2/16,48.73
2004/2/17,48.73
2004/2/18,48.72
2004/2/19,48.72
2004/2/20,47.67
2004/2/21,46.69
2004/2/22,46.69
2004/2/23,46.69
2004/2/24,46.74
2004/2/25,47.3
2004/2/26,47.57
2004/2/27,47.35
2004/2/28,47.89
2004/2/29,47.89
2004/3/1,47.89
2004/3/2,47.55
2004/3/3,47.21
2004/3/4,47.21
2004/3/5,47.62
2004/3/6,46.28
2004/3/7,46.28
2004/3/8,46.28
2004/3/9,45.95
2004/3/10,45.32
2004/3/11,44.74
2004/3/12,45.76
2004/3/13,44.76
2004/3/14,44.76
2004/3/15,44.76
2004/3/16,45
2004/3/17,45.76
2004/3/18,45.35
2004/3/19,44.65
2004/3/20,43.83
2004/3/21,43.83
2004/3/22,43.83
2004/3/23,43.94
2004/3/24,44.22
2004/3/25,45.62
2004/3/26,45.59
2004/3/27,46.17
2004/3/28,46.17
2004/3/29,46.17
2004/3/30,46.17
2004/3/31,45.98
2004/4/1,46.47
2004/4/2,47.66
2004/4/3,48.2
2004/4/4,48.2
2004/4/5,48.2
2004/4/6,48.2
2004/4/7,47.23
2004/4/8,47.37
2004/4/9,47.62
2004/4/10,47.62
2004/4/11,47.62
2004/4/12,47.62
2004/4/13,46.99
2004/4/14,46.77
2004/4/15,46.17
2004/4/16,45.62
2004/4/17,46.02
2004/4/18,46.02
2004/4/19,46.02
2004/4/20,45.09
2004/4/21,45.56
2004/4/22,46.3
2004/4/23,46.91
2004/4/24,46.32
2004/4/25,46.32
2004/4/26,46.32
2004/4/27,46.16
2004/4/28,45.13
2004/4/29,44.31
2004/4/30,43.48
2004/5/1,43.6
2004/5/2,43.6
2004/5/3,43.6
2004/5/4,44.15
2004/5/5,44.15
2004/5/6,44.03
2004/5/7,44.01
2004/5/8,43.76
2004/5/9,43.76
2004/5/10,43.76
2004/5/11,44.53
2004/5/12,44.28
2004/5/13,44.27
2004/5/14,44.27
2004/5/15,43
2004/5/16,43
2004/5/17,43
2004/5/18,43.53
2004/5/19,43.71
2004/5/20,43.69
2004/5/21,43.69
2004/5/22,44.14
2004/5/23,44.14
2004/5/24,44.14
2004/5/25,45.15
2004/5/26,45.27
2004/5/27,45.45
2004/5/28,45.7
2004/5/29,45.55
2004/5/30,45.55
2004/5/31,45.55
2004/6/1,45.55
2004/6/2,45.33
2004/6/3,44.64
2004/6/4,45.22
2004/6/5,46.3
2004/6/6,46.3
2004/6/7,46.3
2004/6/8,46.48
2004/6/9,45.73
2004/6/10,45.99
2004/6/11,45.27
2004/6/12,45.27
2004/6/13,45.27
2004/6/14,45.27
2004/6/15,45.96
2004/6/16,45.78
2004/6/17,45.21
2004/6/18,45.28
2004/6/19,44.99
2004/6/20,44.99
2004/6/21,44.99
2004/6/22,45.67
2004/6/23,46.41
2004/6/24,46.41
2004/6/25,46.33
2004/6/26,45.97
2004/6/27,45.97
2004/6/28,45.97
2004/6/29,45.97
2004/6/30,46.73
2004/7/1,45.76
2004/7/2,45.2
2004/7/3,43.99
2004/7/4,43.99
2004/7/5,43.99
2004/7/6,43.99
2004/7/7,44.11
2004/7/8,43.43
2004/7/9,43.9
2004/7/10,43.54
2004/7/11,43.54
2004/7/12,43.54
2004/7/13,43.4
2004/7/14,42.59
2004/7/15,42.51
2004/7/16,42.51
2004/7/17,41.99
2004/7/18,41.99
2004/7/19,41.99
2004/7/20,42.86
2004/7/21,41.97
2004/7/22,42.53
2004/7/23,41.5
2004/7/24,41.51
2004/7/25,41.51
2004/7/26,41.51
2004/7/27,41.92
2004/7/28,41.92
2004/7/29,42.49
2004/7/30,42.69
2004/7/31,42.79
2004/8/1,42.79
2004/8/2,42.79
2004/8/3,41.85
2004/8/4,41.97
2004/8/5,41.31
2004/8/6,40.19
2004/8/7,40.19
2004/8/8,40.19
2004/8/9,40.19
2004/8/10,40.84
2004/8/11,39.66
2004/8/12,38.68
2004/8/13,38.92
2004/8/14,39.37
2004/8/15,39.37
2004/8/16,39.37
2004/8/17,39.68
2004/8/18,39.68
2004/8/19,40.37
