Date,Price
2017/10/10,155.03
2017/10/11,155.71
2017/10/12,155.81
2017/10/13,156.53
2017/10/14,156.94
2017/10/15,156.94
2017/10/16,156.94
2017/10/17,156.88
2017/10/18,157.39
2017/10/19,156.85
2017/10/20,157.89
2017/10/21,157.37
2017/10/22,157.37
2017/10/23,157.37
2017/10/24,157.86
2017/10/25,157.29
2017/10/26,157.93
2017/10/27,162
2017/10/28,162.53
2017/10/29,162.53
2017/10/30,162.53
2017/10/31,163.28
2017/11/1,163.13
2017/11/2,163.28
2017/11/3,164.57
2017/11/4,165.28
2017/11/5,165.28
2017/11/6,165.28
2017/11/7,165.22
2017/11/8,166.19
2017/11/9,164.69
2017/11/10,164.78
2017/11/11,164.71
2017/11/12,164.71
2017/11/13,164.71
2017/11/14,164.49
2017/11/15,163.22
2017/11/16,165.43
2017/11/17,164.63
2017/11/18,165.25
2017/11/19,165.25
2017/11/20,165.25
2017/11/21,167.25
2017/11/22,166.81
2017/11/23,167.79
2017/11/24,167.79
2017/11/25,167.6
2017/11/26,167.6
2017/11/27,167.6
2017/11/28,167.97
2017/11/29,163.66
2017/11/30,165.13
2017/12/1,164.1
2017/12/2,161.01
2017/12/3,161.01
2017/12/4,161.01
2017/12/5,161.31
2017/12/6,162.31
2017/12/7,163.44
2017/12/8,164.07
2017/12/9,165.38
2017/12/10,165.38
2017/12/11,165.38
2017/12/12,164.91
2017/12/13,165.15
2017/12/14,164.56
2017/12/15,166.47
2017/12/16,168.07
2017/12/17,168.07
2017/12/18,168.07
2017/12/19,167.1
2017/12/20,166.97
2017/12/21,166.57
2017/12/22,166.34
2017/12/23,165.17
2017/12/24,165.17
2017/12/25,165.17
2017/12/26,165.17
2017/12/27,165.4
2017/12/28,165.6
2017/12/29,164.68
2017/12/30,166.93
2017/12/31,166.93
2018/1/1,166.93
2018/1/2,166.93
2018/1/3,168.74
2018/1/4,169.69
2018/1/5,171.54
2018/1/6,172.34
2018/1/7,172.34
2018/1/8,172.34
2018/1/9,171.84
2018/1/10,171.36
2018/1/11,172.38
2018/1/12,173.42
2018/1/13,172.66
2018/1/14,172.66
2018/1/15,172.66
2018/1/16,172.66
2018/1/17,175.24
2018/1/18,175.59
2018/1/19,175.94
2018/1/20,177.27
2018/1/21,177.27
2018/1/22,177.27
2018/1/23,178.4
2018/1/24,176.78
2018/1/25,176.43
2018/1/26,179.18
2018/1/27,177.78
2018/1/28,177.78
2018/1/29,177.78
2018/1/30,175.94
2018/1/31,177.14
2018/2/1,177.1
2018/2/2,172.11
2018/2/3,165.46
2018/2/4,165.46
2018/2/5,165.46
2018/2/6,169.45
2018/2/7,167.65
2018/2/8,160.86
2018/2/9,164.32
2018/2/10,167.38
2018/2/11,167.38
2018/2/12,167.38
2018/2/13,168.09
2018/2/14,171.47
2018/2/15,174.67
2018/2/16,174.32
2018/2/17,174.82
2018/2/18,174.82
2018/2/19,174.82
2018/2/20,174.82
2018/2/21,173.89
2018/2/22,174
2018/2/23,177.47
2018/2/24,180.15
2018/2/25,180.15
2018/2/26,180.15
2018/2/27,178.56
2018/2/28,177.47
2018/3/1,174.53
2018/3/2,176.44
2018/3/3,178.29
