Date,Market price,,,Date,Price
2022/01/21,$402.39,,,2022/01/21,402.39
2022/01/20,$411.18,,,2022/01/20,411.18
2022/01/19,$416.43,,,2022/01/19,416.43
2022/01/18,$422.62,,,2022/01/18,422.62
2022/01/14,$433.30,,,2022/01/17,422.62
2022/01/13,$430.13,,,2022/01/16,422.62
2022/01/12,$442.22,,,2022/01/15,422.62
2022/01/11,$441.16,,,2022/01/14,433.3
2022/01/10,$435.49,,,2022/01/13,430.13
2022/01/07,$434.44,,,2022/01/12,442.22
2022/01/06,$439.34,,,2022/01/11,441.16
2022/01/05,$440.76,,,2022/01/10,435.49
2022/01/04,$456.06,,,2022/01/09,435.49
2022/01/03,$461.99,,,2022/01/08,435.49
2021/12/31,$458.00,,,2022/01/07,434.44
2021/12/30,$460.46,,,2022/01/06,439.34
2021/12/29,$462.98,,,2022/01/05,440.76
2021/12/28,$462.63,,,2022/01/04,456.06
2021/12/27,$466.02,,,2022/01/03,461.99
2021/12/23,$456.48,,,2022/01/02,461.99
2021/12/22,$454.12,,,2022/01/01,461.99
2021/12/21,$448.89,,,2021/12/31,458
2021/12/20,$436.40,,,2021/12/30,460.46
2021/12/17,$442.13,,,2021/12/29,462.98
2021/12/16,$443.49,,,2021/12/28,462.63
2021/12/15,$458.21,,,2021/12/27,466.02
2021/12/14,$445.80,,,2021/12/26,466.02
2021/12/13,$452.87,,,2021/12/25,466.02
2021/12/10,$460.36,,,2021/12/24,466.02
2021/12/09,$452.56,,,2021/12/23,456.48
2021/12/08,$458.84,,,2021/12/22,454.12
2021/12/07,$455.64,,,2021/12/21,448.89
2021/12/06,$439.47,,,2021/12/20,436.4
2021/12/03,$436.01,,,2021/12/19,436.4
2021/12/02,$444.25,,,2021/12/18,436.4
2021/12/01,$439.36,,,2021/12/17,442.13
2021/11/30,$447.70,,,2021/12/16,443.49
2021/11/29,$452.14,,,2021/12/15,458.21
2021/11/26,$442.20,,,2021/12/14,445.8
2021/11/24,$452.50,,,2021/12/13,452.87
2021/11/23,$448.88,,,2021/12/12,452.87
2021/11/22,$450.37,,,2021/12/11,452.87
2021/11/19,$457.48,,,2021/12/10,460.36
2021/11/18,$454.95,,,2021/12/09,452.56
2021/11/17,$451.34,,,2021/12/08,458.84
2021/11/16,$453.52,,,2021/12/07,455.64
2021/11/15,$448.77,,,2021/12/06,439.47
2021/11/12,$449.50,,,2021/12/05,439.47
2021/11/11,$443.97,,,2021/12/04,439.47
2021/11/10,$441.56,,,2021/12/03,436.01
2021/11/09,$449.95,,,2021/12/02,444.25
2021/11/08,$451.26,,,2021/12/01,439.36
2021/11/05,$448.06,,,2021/11/30,447.7
2021/11/04,$446.66,,,2021/11/29,452.14
2021/11/03,$440.27,,,2021/11/28,452.14
2021/11/02,$437.77,,,2021/11/27,452.14
2021/11/01,$434.80,,,2021/11/26,442.2
2021/10/29,$434.06,,,2021/11/25,442.2
2021/10/28,$432.58,,,2021/11/24,452.5
2021/10/27,$427.78,,,2021/11/23,448.88
2021/10/26,$429.32,,,2021/11/22,450.37
2021/10/25,$428.69,,,2021/11/21,450.37
2021/10/22,$426.95,,,2021/11/20,450.37
2021/10/21,$428.99,,,2021/11/19,457.48
2021/10/20,$426.57,,,2021/11/18,454.95
2021/10/19,$427.72,,,2021/11/17,451.34
2021/10/18,$423.88,,,2021/11/16,453.52
