Date,Price,Open,High,Low,Vol,Change %,Vol1
2004/2/2,49.12,49.1,49.12,48.84,65.40 ,0.08%,65400
2004/2/3,48.82,48.8,48.82,48.62,231.10 ,-0.61%,231100
2004/2/4,47.35,47.5,47.5,47.35,51.00 ,-3.01%,51000
2004/2/5,47.59,47.7,47.7,47.35,2.60 ,0.51%,2600
2004/2/6,48.55,47.9,48.55,47.9,1.00 ,2.02%,1000
2004/2/9,48.5,48.64,48.79,48.42,3.20 ,-0.10%,3200
2004/2/10,48.65,48.82,48.82,48.65,0.20 ,0.31%,200
2004/2/11,49.05,48.62,49.16,48.62,176.40 ,0.82%,176400
2004/2/12,48.85,49,49,48.85,0.30 ,-0.41%,300
2004/2/13,48.2,49.03,49.03,48.2,1.80 ,-1.33%,1800
2004/2/17,48.94,48.64,48.94,48.64,0.50 ,1.54%,500
2004/2/18,48.69,48.87,48.87,48.69,0.20 ,-0.51%,200
2004/2/20,47.74,48.1,48.1,47.47,2.40 ,-1.95%,2400
2004/2/23,46.73,48,48,46.73,1.30 ,-2.12%,1300
2004/2/24,47,46.9,47,46.9,0.70 ,0.58%,700
2004/2/25,47.2,47.24,47.24,47.2,3.00 ,0.43%,3000
2004/2/26,47.2,47.2,47.2,47.2,0.10 ,0.00%,100
2004/2/27,47.25,47.24,47.25,47.24,0.60 ,0.11%,600
2004/3/1,47.8,47.8,47.8,47.8,1.00 ,1.16%,1000
2004/3/2,47.7,48,48.18,47.7,3.00 ,-0.21%,3000
2004/3/3,47.25,47.09,47.25,47.09,6.50 ,-0.94%,6500
2004/3/4,47.53,47.53,47.53,47.53,0.10 ,0.59%,100
2004/3/5,47.65,47.35,47.85,47.23,62.40 ,0.25%,62400
2004/3/8,47.36,47.65,47.65,47.25,2.40 ,-0.61%,2400
2004/3/9,46.01,45.98,46.24,45.59,80.70 ,-2.85%,80700
2004/3/10,45.31,46.05,46.05,45.31,4.00 ,-1.52%,4000
2004/3/11,44.82,45.37,45.37,44.82,4.00 ,-1.08%,4000
2004/3/12,45.67,45.45,45.67,45.45,8.70 ,1.90%,8700
2004/3/15,44.85,45.08,45.08,44.85,0.30 ,-1.80%,300
2004/3/16,44.9,45.1,45.1,44.9,1.20 ,0.11%,1200
2004/3/17,45.76,45.66,45.76,45.66,1.80 ,1.92%,1800
2004/3/18,45.41,45.18,45.41,45.1,0.40 ,-0.76%,400
2004/3/19,44.75,45.27,45.27,44.75,0.50 ,-1.45%,500
2004/3/22,43.8,43.94,43.94,43.78,20.60 ,-2.12%,20600
2004/3/23,43.97,44.4,44.45,43.97,12.00 ,0.39%,12000
2004/3/24,44.38,44.38,44.38,44.38,0.50 ,0.93%,500
2004/3/25,45.68,44.88,45.68,44.88,0.60 ,2.93%,600
2004/3/26,45.85,45.6,45.85,45.6,2.10 ,0.37%,2100
2004/3/29,46.17,46.08,46.26,46.04,1.80 ,0.70%,1800
2004/3/31,46.03,46.13,46.13,46.03,4.80 ,-0.30%,4800
2004/4/1,46.6,46.6,46.6,46.6,0.70 ,1.24%,700
2004/4/2,47.7,47.59,47.7,47.47,1.00 ,2.36%,1000
2004/4/5,48,47.85,48,47.81,1.80 ,0.63%,1800
2004/4/6,47.75,47.75,47.75,47.75,0.10 ,-0.52%,100
2004/4/7,47.19,47.29,47.37,47,21.50 ,-1.17%,21500
2004/4/8,47.38,47.38,47.38,47.38,0.10 ,0.40%,100
2004/4/12,47.65,47.75,47.75,47.65,2.90 ,0.57%,2900
2004/4/13,47,47.89,47.89,47,2.70 ,-1.36%,2700
2004/4/14,46.84,46.75,46.84,46.75,0.20 ,-0.34%,200
2004/4/15,46.14,46.72,46.72,46.14,4.60 ,-1.49%,4600
2004/4/16,45.82,45.61,45.82,45.35,3.10 ,-0.69%,3100
2004/4/19,45.57,45.53,45.57,45.53,0.70 ,-0.55%,700
2004/4/20,45.99,46.31,46.31,45.99,20.60 ,0.92%,20600
2004/4/21,45.47,45.41,45.47,45.19,1.00 ,-1.13%,1000
2004/4/22,46.53,46.2,46.53,46.2,1.00 ,2.33%,1000
2004/4/23,47.02,46.85,47.02,46.84,2.80 ,1.05%,2800
2004/4/26,46.4,47.02,47.02,46.4,0.50 ,-1.32%,500
2004/4/27,46.27,46.52,46.52,46.27,0.20 ,-0.28%,200
2004/4/28,45.65,45.53,45.67,45.52,3.80 ,-1.34%,3800
2004/4/29,44.18,44.85,44.85,44.09,2.10 ,-3.22%,2100
2004/4/30,43.53,44.18,44.18,43.53,0.40 ,-1.47%,400
2004/5/3,43.7,43.65,44.18,43.65,3.00 ,0.39%,3000
2004/5/4,43.72,43.72,43.72,43.72,0.20 ,0.05%,200
2004/5/6,43.88,43.75,43.88,43.75,0.40 ,0.37%,400
2004/5/7,44.05,44.38,44.38,44.05,0.60 ,0.39%,600
2004/5/10,43.88,43.55,43.88,43.55,1.00 ,-0.39%,1000
2004/5/11,44.56,44.16,44.6,44.16,13.60 ,1.55%,13600
2004/5/12,43.37,43.6,43.63,43.37,2.60 ,-2.67%,2600
2004/5/13,44.35,44.27,44.35,44.27,0.30 ,2.26%,300
2004/5/17,42.86,43.04,43.04,42.77,1.20 ,-3.36%,1200
2004/5/18,43.54,43.53,43.54,43.53,0.30 ,1.59%,300
2004/5/19,44.25,44.45,44.56,44.25,1.40 ,1.63%,1400
2004/5/20,43.65,43.75,43.75,43.65,1.10 ,-1.36%,1100
2004/5/24,44.09,44.43,44.43,44.09,0.80 ,1.01%,800
2004/5/25,44.71,44.64,44.73,44.64,1.30 ,1.41%,1300
2004/5/26,45.19,45.3,45.35,45.19,1.70 ,1.07%,1700
