Date,Price,Open,High,Low,Vol,Change %
2004/2/2,49.12,49.1,49.12,48.84,65.40K,0.08%
2004/2/3,48.82,48.8,48.82,48.62,231.10K,-0.61%
2004/2/4,47.35,47.5,47.5,47.35,51.00K,-3.01%
2004/2/5,47.59,47.7,47.7,47.35,2.60K,0.51%
2004/2/6,48.55,47.9,48.55,47.9,1.00K,2.02%
2004/2/9,48.5,48.64,48.79,48.42,3.20K,-0.10%
2004/2/10,48.65,48.82,48.82,48.65,0.20K,0.31%
2004/2/11,49.05,48.62,49.16,48.62,176.40K,0.82%
2004/2/12,48.85,49,49,48.85,0.30K,-0.41%
2004/2/13,48.2,49.03,49.03,48.2,1.80K,-1.33%
2004/2/17,48.94,48.64,48.94,48.64,0.50K,1.54%
2004/2/18,48.69,48.87,48.87,48.69,0.20K,-0.51%
2004/2/20,47.74,48.1,48.1,47.47,2.40K,-1.95%
2004/2/23,46.73,48,48,46.73,1.30K,-2.12%
2004/2/24,47,46.9,47,46.9,0.70K,0.58%
2004/2/25,47.2,47.24,47.24,47.2,3.00K,0.43%
2004/2/26,47.2,47.2,47.2,47.2,0.10K,0.00%
2004/2/27,47.25,47.24,47.25,47.24,0.60K,0.11%
2004/3/1,47.8,47.8,47.8,47.8,1.00K,1.16%
2004/3/2,47.7,48,48.18,47.7,3.00K,-0.21%
2004/3/3,47.25,47.09,47.25,47.09,6.50K,-0.94%
2004/3/4,47.53,47.53,47.53,47.53,0.10K,0.59%
2004/3/5,47.65,47.35,47.85,47.23,62.40K,0.25%
2004/3/8,47.36,47.65,47.65,47.25,2.40K,-0.61%
2004/3/9,46.01,45.98,46.24,45.59,80.70K,-2.85%
2004/3/10,45.31,46.05,46.05,45.31,4.00K,-1.52%
2004/3/11,44.82,45.37,45.37,44.82,4.00K,-1.08%
2004/3/12,45.67,45.45,45.67,45.45,8.70K,1.90%
2004/3/15,44.85,45.08,45.08,44.85,0.30K,-1.80%
2004/3/16,44.9,45.1,45.1,44.9,1.20K,0.11%
2004/3/17,45.76,45.66,45.76,45.66,1.80K,1.92%
2004/3/18,45.41,45.18,45.41,45.1,0.40K,-0.76%
2004/3/19,44.75,45.27,45.27,44.75,0.50K,-1.45%
2004/3/22,43.8,43.94,43.94,43.78,20.60K,-2.12%
2004/3/23,43.97,44.4,44.45,43.97,12.00K,0.39%
2004/3/24,44.38,44.38,44.38,44.38,0.50K,0.93%
2004/3/25,45.68,44.88,45.68,44.88,0.60K,2.93%
2004/3/26,45.85,45.6,45.85,45.6,2.10K,0.37%
2004/3/29,46.17,46.08,46.26,46.04,1.80K,0.70%
2004/3/31,46.03,46.13,46.13,46.03,4.80K,-0.30%
2004/4/1,46.6,46.6,46.6,46.6,0.70K,1.24%
2004/4/2,47.7,47.59,47.7,47.47,1.00K,2.36%
2004/4/5,48,47.85,48,47.81,1.80K,0.63%
2004/4/6,47.75,47.75,47.75,47.75,0.10K,-0.52%
2004/4/7,47.19,47.29,47.37,47,21.50K,-1.17%
2004/4/8,47.38,47.38,47.38,47.38,0.10K,0.40%
2004/4/12,47.65,47.75,47.75,47.65,2.90K,0.57%
2004/4/13,47,47.89,47.89,47,2.70K,-1.36%
2004/4/14,46.84,46.75,46.84,46.75,0.20K,-0.34%
2004/4/15,46.14,46.72,46.72,46.14,4.60K,-1.49%
2004/4/16,45.82,45.61,45.82,45.35,3.10K,-0.69%
2004/4/19,45.57,45.53,45.57,45.53,0.70K,-0.55%
2004/4/20,45.99,46.31,46.31,45.99,20.60K,0.92%
2004/4/21,45.47,45.41,45.47,45.19,1.00K,-1.13%
2004/4/22,46.53,46.2,46.53,46.2,1.00K,2.33%
2004/4/23,47.02,46.85,47.02,46.84,2.80K,1.05%
2004/4/26,46.4,47.02,47.02,46.4,0.50K,-1.32%
2004/4/27,46.27,46.52,46.52,46.27,0.20K,-0.28%
2004/4/28,45.65,45.53,45.67,45.52,3.80K,-1.34%
