Date,Price,Open,High,Low,Vol.,Change %
2018/10/10,186.2,194.38,194.38,185.84,1.40M,-4.64%
2018/10/11,183.6,185.43,188.49,182.26,1.91M,-1.40%
2018/10/12,189.26,188.58,189.85,185.72,1.15M,3.08%
2018/10/15,186.55,188.81,189.14,186.26,655.14K,-1.43%
2018/10/16,192.35,188.88,192.94,188.5,682.88K,3.11%
2018/10/17,191.67,192.83,192.83,190,566.12K,-0.35%
2018/10/18,187.8,190.81,190.81,186.67,1.09M,-2.02%
2018/10/19,187.26,188.8,190.59,186.66,503.86K,-0.29%
2018/10/22,188.78,188.04,189.91,186.93,752.61K,0.81%
2018/10/23,188.07,185.14,189.08,183.02,890.14K,-0.38%
2018/10/24,179.63,187.71,188.07,179.42,990.96K,-4.49%
2018/10/25,185.4,182.03,186.33,181.71,1.12M,3.21%
2018/10/26,181.68,180.93,184.93,178.96,864.17K,-2.01%
2018/10/29,178.68,184.32,185.48,175.12,973.78K,-1.65%
2018/10/30,180.97,178.16,181.18,177.41,904.13K,1.28%
2018/10/31,185.39,183.58,186.85,183.22,679.96K,2.44%
2018/11/1,187.93,185.81,188.06,184.26,686.85K,1.37%
2018/11/2,184.51,186.71,187.76,183.05,641.81K,-1.82%
2018/11/5,184.07,184.35,184.35,181.51,507.40K,-0.24%
2018/11/6,185.19,183.89,186,183.55,522.70K,0.61%
2018/11/7,190.5,187.17,190.58,187,617.77K,2.87%
2018/11/8,190.15,189.84,190.64,189.01,480.86K,-0.18%
2018/11/9,186.87,188.39,188.75,185.19,463.16K,-1.72%
2018/11/12,180.44,185.25,185.55,179.96,589.27K,-3.44%
2018/11/13,180.52,180.71,183.57,180.04,802.42K,0.04%
2018/11/14,178.56,182.42,182.98,177.62,2.56M,-1.09%
2018/11/15,183.03,178.8,183.41,177.79,2.09M,2.50%
2018/11/16,182.77,180.98,183.69,180.69,522.07K,-0.14%
2018/11/19,175.57,181.72,182,175.1,762.15K,-3.94%
2018/11/20,172,170.76,174.33,169.68,1.63M,-2.03%
2018/11/21,173.45,174.57,175.04,172.67,540.33K,0.84%
2018/11/23,172.29,171.74,173.9,171.41,208.27K,-0.67%
2018/11/26,176.03,174.4,176.07,173.61,555.44K,2.17%
2018/11/27,176.17,174.87,176.56,173.86,438.69K,0.08%
2018/11/28,182.32,177.62,182.35,177.13,611.84K,3.49%
2018/11/29,180.88,181.86,182.23,179.81,485.30K,-0.79%
2018/11/30,182.67,181.23,182.78,180.3,425.04K,0.99%
2018/12/3,186.52,187.15,187.52,184.53,1.34M,2.11%
2018/12/4,179.35,185.31,185.45,179.07,690.98K,-3.84%
2018/12/6,179.89,175.44,179.89,174.54,919.85K,0.30%
2018/12/7,173.67,179.2,179.99,172.86,735.27K,-3.46%
2018/12/10,175.97,172.9,176.61,171.9,860.14K,1.32%
2018/12/11,176.05,178.73,178.97,174.73,859.83K,0.05%
2018/12/12,177.63,178.86,180.37,177.6,605.09K,0.90%
2018/12/13,177,178.02,178.86,176.08,476.84K,-0.35%
2018/12/14,172.87,174.91,175.91,172.62,678.84K,-2.33%
2018/12/17,168.87,172.27,173.19,167.61,3.79M,-2.31%
2018/12/18,170.28,170.25,171.75,168.91,969.53K,0.83%
2018/12/19,166.82,170.22,173,165.29,1.19M,-2.03%
2018/12/20,163.97,166.22,167.82,161.55,1.62M,-1.71%
2018/12/21,158.9,163.43,165.65,158.14,1.50M,-3.09%
2018/12/24,154.81,157.41,159.25,154.72,1.10M,-2.57%
2018/12/26,164.16,155.94,164.16,155.1,1.53M,6.04%
2018/12/27,165.51,161.98,165.51,159.03,1.03M,0.82%
2018/12/28,165.17,166.53,167.93,163.79,1.23M,-0.21%
2018/12/31,166.83,166.61,167.33,165.41,965.98K,1.01%
2019/1/2,166.93,163.55,167.77,163.34,861.16K,0.06%
2019/1/3,158.68,162.74,163.02,158.5,705.07K,-4.94%
2019/1/4,165.58,161.54,166.35,161.07,731.88K,4.35%
2019/1/7,167.43,165.87,168.53,165.5,1.11M,1.12%
2019/1/8,169.04,169.07,169.69,166.94,4.26M,0.96%
2019/1/9,171.15,169.91,172.03,169.73,796.50K,1.25%
2019/1/10,171.95,170,172.05,169.14,402.81K,0.47%
2019/1/11,171.85,171.08,172,170.74,391.32K,-0.06%
2019/1/14,170.15,170.26,170.71,169.56,550.82K,-0.99%
2019/1/15,172.66,170.47,172.96,170.45,436.51K,1.48%
2019/1/16,172.84,172.94,173.95,172.3,3.65M,0.10%
2019/1/17,174.16,172.21,175.05,171.9,582.84K,0.76%
2019/1/18,176.75,175.67,177.2,174.67,628.27K,1.49%
